n,relation,j,up_card,down_card,up_nodes,down_nodes,rel_card,rel_nodes,t_bnd_s
17,inc,2,289,929152,65,195,1463588514,17,0.000049
17,restart,1,306,0,65,0,1463588514,17,0.000015
17,restart,2,306,1155728,65,262,1463588514,17,0.000054
17,loop,1,306,289,65,65,2927177028,17,0.000013
17,loop,2,929458,1156017,219,272,2927177028,17,0.000038
18,dec,1,0,324,0,69,4649045868,18,0.000076
18,dec,2,1368432,324,209,69,4649045868,18,0.000457
18,inc,1,324,0,69,0,4649045868,18,0.000020
18,inc,2,324,1368432,69,209,4649045868,18,0.000053
18,restart,1,342,0,69,0,4649045868,18,0.000015
18,restart,2,342,1687896,69,281,4649045868,18,0.000055
18,loop,1,342,324,69,69,9298091736,18,0.000014
18,loop,2,1368774,1688220,234,291,9298091736,18,0.000038
19,dec,1,0,361,0,73,14721978582,19,0.000072
19,dec,2,1972884,361,223,73,14721978582,19,0.000481
19,inc,1,361,0,73,0,14721978582,19,0.000021
19,inc,2,361,1972884,73,223,14721978582,19,0.000057
19,restart,1,380,0,73,0,14721978582,19,0.000016
19,restart,2,380,2414748,73,300,14721978582,19,0.000061
19,loop,1,380,361,73,73,29443957164,19,0.000016
19,loop,2,1973264,2415109,249,310,29443957164,19,0.000046
20,dec,1,0,400,0,77,46490458680,20,0.000075
20,dec,2,2790720,400,237,77,46490458680,20,0.000507
20,inc,1,400,0,77,0,46490458680,20,0.000023
20,inc,2,400,2790720,77,237,46490458680,20,0.000060
20,restart,1,420,0,77,0,46490458680,20,0.000016
20,restart,2,420,3391500,77,319,46490458680,20,0.000066
20,loop,1,420,400,77,77,92980917360,20,0.000015
20,loop,2,2791140,3391900,264,329,92980917360,20,0.000049
21,dec,1,0,441,0,81,146444944842,21,0.000082
21,dec,2,3880674,441,251,81,146444944842,21,0.000538
21,inc,1,441,0,81,0,146444944842,21,0.000023
21,inc,2,441,3880674,81,251,146444944842,21,0.000064
21,restart,1,462,0,81,0,146444944842,21,0.000018
21,restart,2,462,4685058,81,338,146444944842,21,0.000068
21,loop,1,462,441,81,81,292889889684,21,0.000016
21,loop,2,3881136,4685499,279,348,292889889684,21,0.000050
22,dec,1,0,484,0,85,460255540932,22,0.000085
22,dec,2,5313616,484,265,85,460255540932,22,0.000563
22,inc,1,484,0,85,0,460255540932,22,0.000026
22,inc,2,484,5313616,85,265,460255540932,22,0.000069
22,restart,1,506,0,85,0,460255540932,22,0.000019
22,restart,2,506,6375754,85,357,460255540932,22,0.000074
22,loop,1,506,484,85,85,920511081864,22,0.000018
22,loop,2,5314122,6376238,294,367,920511081864,22,0.000055
